,std,mean,Russell 1000,Russell 2000,BAML US Corporate Master,BAML US High Yield,3-Month Treasury Bill,MSCI EAFE,MSCI EM
0,0.024674895669781517,0.019907702950492948,3.0055863636529263e-06,1.2990318869937361e-05,0.07908583362401261,0.01969939986140976,0.9011905621416029,6.322140938837943e-06,1.886326802260267e-06
1,0.024674895398460704,0.019907702312071934,3.00421252014801e-06,1.2986382447901982e-05,0.0790858446505681,0.01969940341955117,0.9011905575510849,6.317889873575938e-06,1.8858939542004947e-06
2,0.024674895083709205,0.019907701567094836,3.0026376643118704e-06,1.2981914587457214e-05,0.07908585729673424,0.01969940732495544,0.9011905525051003,6.3129681571842355e-06,1.8853528011562708e-06
3,0.024674894720383332,0.019907700703222467,3.0008430597668983e-06,1.2976858400644291e-05,0.07908587184463217,0.019699411639700053,0.9011905468442282,6.30727581566072e-06,1.884694163590203e-06
4,0.02467489430264313,0.019907699706540716,2.9988091647032133e-06,1.297115207820924e-05,0.0790858886501065,0.019699416440174013,0.9011905403477947,6.3006917637418835e-06,1.8839089181330958e-06
5,0.02467489382391362,0.019907698561530515,2.9965166227028594e-06,1.296473038863188e-05,0.07908590816977293,0.019699421820848734,0.9011905327055751,6.293068002741587e-06,1.8829887891642256e-06
6,0.024674893276912163,0.019907697251237973,2.9939482097378683e-06,1.2957528183468977e-05,0.07908593100128491,0.019699427899024378,0.9011905234736287,6.284221860238697e-06,1.881927808650718e-06
7,0.024674892653821483,0.019907695757867473,2.9910925312700817e-06,1.294948772228546e-05,0.07908595794513379,0.019699434820640106,0.9011905120034913,6.2739255029165444e-06,1.880724978434667e-06
8,0.024674891946769622,0.019907694064245612,2.9879509715538835e-06,1.2940573318349348e-05,0.07908599010284818,0.0196994427669715,0.9011904973251231,6.261891629139696e-06,1.87938913831823e-06
9,0.02467489114894896,0.019907692157075378,2.984550824432272e-06,1.2930800255618988e-05,0.07908602903939915,0.019699451961282786,0.9011904779464492,6.247753803241701e-06,1.8779479855915548e-06
10,0.024674890257077576,0.019907690033926905,2.980970534024737e-06,1.2920292270314053e-05,0.07908607706454947,0.019699462672537284,0.9011904514956012,6.23103934077122e-06,1.8764651669314961e-06
11,0.024674889276748924,0.019907687718260108,2.977389602206998e-06,1.2909398317484317e-05,0.07908613774753462,0.019699475208282923,0.9011904140503798,6.2111321609065755e-06,1.8750737220089633e-06
12,0.02467488823424505,0.019907685292489728,2.9741913015959194e-06,1.2898938404354845e-05,0.07908621692159903,0.019699489876220784,0.9011903588047425,6.187223338208412e-06,1.874044393432934e-06
13,0.02467488720364477,0.019907682974146232,2.9721858793374603e-06,1.2890748480900897e-05,0.0790863248050477,0.01969950686189523,0.9011902732142899,6.158251123697224e-06,1.8739332830455457e-06
14,0.024674886373027206,0.019907681304039384,2.973132550981127e-06,1.2888977420482409e-05,0.07908648094180092,0.019699525889184263,0.9011901322815942,6.122851495578356e-06,1.8759259535306114e-06
15,0.024674886221840317,0.01990768166175217,2.9810894965735473e-06,1.2903494656919776e-05,0.07908672727258449,0.019699545348444134,0.901189880644273,6.079425105479739e-06,1.8827254395915956e-06
16,0.024674888065349173,0.019907687912397328,3.006437181945234e-06,1.2960186910071809e-05,0.0790871693030198,0.019699560477537105,0.9011893755675996,6.026832543535227e-06,1.9011952079185282e-06
17,0.02467489610451302,0.01990771308044758,3.0806462958978156e-06,1.31392148086043e-05,0.07908814397300461,0.01969956540844115,0.9011881501548175,5.968556762213733e-06,1.95204586993418e-06
18,0.02467492815212233,0.019907820024022714,3.3319338106664835e-06,1.3774498358896851e-05,0.07909128212021378,0.019699688823043782,0.9011838629495362,5.940402795396153e-06,2.1192722413634993e-06
19,0.02467512572822131,0.01990874444052647,4.7475016128817335e-06,1.7638319371210755e-05,0.07911763626175164,0.019706278157089637,0.9011443964037555,6.2597819722942855e-06,3.043574446913863e-06
20,0.024694413780518003,0.02010072912834708,1.5997986414797611e-06,1.0347552618805169e-05,0.08554676241410676,0.02410611174168274,0.8902877860123597,4.627288762497421e-05,1.1195929656404095e-06
21,0.025006446132916003,0.021105565603585712,3.12767067125295e-07,4.179018742127453e-06,0.10548633698346088,0.01444421039615001,0.8711237849464178,0.008940995609884338,1.8027827763691943e-07
22,0.025386699580693593,0.022110599362118642,6.026632878892636e-07,1.8136444053037485e-05,0.12253597898141656,0.0027293232903267107,0.8561472794558834,0.0185682595960528,4.1956897947900136e-07
23,0.02584497745482911,0.023115583614911617,1.0002052082336265e-07,2.129765116693873e-06,0.12814248807241332,2.8733046255624914e-05,0.8445580613955593,0.02726841035593469,7.73441995294951e-08
24,0.026404855625070903,0.024120610342328853,1.0545414697336501e-07,1.1634668053631704e-06,0.13033398309585995,4.50699189672523e-06,0.8339768816048115,0.035683281594749455,7.779173001466407e-08
25,0.027062925579695373,0.025125998449871012,7.577671652756682e-06,5.028365151480886e-05,0.13230416731325734,0.000119401413469416,0.8234554790893872,0.044057257161981486,5.833698736969897e-06
26,0.0278061328302744,0.026130887562363925,6.7806050772280505e-06,3.21862117657084e-05,0.13455741156072953,5.6405884740521676e-05,0.8128590748940651,0.05248263785119637,5.50299242552028e-06
27,0.028631105272078038,0.027135791638386128,4.835805393003576e-06,1.835286355452502e-05,0.1367676927765085,2.6237389765435157e-05,0.8022741744187856,0.06090447716438192,4.2295816111267776e-06
28,0.029531166507590863,0.028140749509569855,3.026338316016828e-06,9.799658120398997e-06,0.13895491076011218,1.2122043910304361e-05,0.791694378884852,0.06932291104747365,2.8512672155897538e-06
