,std,mean,Russell 1000,Russell 2000,BAML US Corporate Master,BAML US High Yield,MSCI EAFE,MSCI EM
0,0.06139373043513478,0.022530088869630406,1.6697458801403935e-05,2.147199527193662e-05,0.9824285909753053,3.624701098910239e-06,0.01752685723233672,2.7576371857223223e-06
1,0.061393718129618205,0.022530092197230858,1.6536557492954774e-05,2.1285918228419244e-05,0.9824286205511936,3.5767645955116445e-06,0.017527255309258808,2.7248992306608677e-06
2,0.06139370297623351,0.022530096595393893,1.6338382493708905e-05,2.1055727033520054e-05,0.9824286529470365,3.51863694717949e-06,0.0175277498166316,2.6844898573789763e-06
3,0.06139368388628209,0.022530102623584562,1.6088563280089248e-05,2.0764149629845206e-05,0.9824286874151655,3.4465921376771845e-06,0.01752837971658062,2.6335632062670494e-06
4,0.06139365910585148,0.022530111177921842,1.576389313865936e-05,2.0383120758154122e-05,0.9824287228697476,3.3546992436065405e-06,0.017529207823028015,2.5675940840481326e-06
5,0.06139362561605133,0.022530123726080948,1.532432200074265e-05,1.9863853724706373e-05,0.9824287584925392,3.2328879741530802e-06,0.01753034153000982,2.4789137512892695e-06
6,0.061393577763837776,0.02253014269827874,1.4694622935270841e-05,1.9113939070021334e-05,0.9824287969991888,3.062603162830939e-06,0.01753197840942226,2.353426220800449e-06
7,0.061393503719004705,0.022530171985318363,1.371676852109088e-05,1.7937370902132867e-05,0.9824288597177914,2.805791563492487e-06,0.017534518065964174,2.162285257682399e-06
8,0.06139342189231205,0.022530353901480997,1.2635186986703592e-05,1.6633635924241957e-05,0.982427045083066,2.5226632898131628e-06,0.01753921165936791,1.9517713652631883e-06
9,0.06139339109693642,0.022531224002220872,1.2229043215536185e-05,1.61680668400066e-05,0.9824162566928197,2.404181517698261e-06,0.017551074553229237,1.867462377791607e-06
10,0.061392506020902626,0.022527985121963846,1.1303601206895842e-07,1.501442536137579e-07,0.982462598703769,2.2205127759796852e-08,0.017537098637193046,1.7273644533702578e-08
11,0.06139251077756641,0.022535852579945278,1.1190483410726123e-07,1.30414851023035e-07,0.982363437452637,5.658326073254538e-08,0.017636233108881592,3.053553551221286e-08
12,0.061535147129194834,0.02424244336763184,3.510410671344069e-07,4.533935349409488e-07,0.9608545456831618,1.6779869840345659e-07,0.03914439735794728,8.472559043695275e-08
13,0.06206635711628632,0.02626269169459002,4.4035142630045337e-07,5.92755754796531e-07,0.9353925978040042,1.795113471784526e-07,0.06460610890336496,8.067410262343033e-08
14,0.06298078572328175,0.02828286405976256,2.0834560493348357e-06,2.8776393735767555e-06,0.9099307949463095,6.420864830690074e-07,0.09006333349556325,2.6837622143068706e-07
15,0.06426197144440741,0.03030304154827211,3.5860115675158958e-06,4.931180138501819e-06,0.8844690506732684,8.262439988866305e-07,0.11552129915117317,3.067398535125756e-07
16,0.06588859310481814,0.032323244896668914,5.252177579089494e-06,7.841430732841266e-06,0.8590066160008196,1.5442571246557685e-06,0.1409782566446766,4.894890672390642e-07
17,0.0678358553930989,0.03434344316993504,1.2274434351790634e-05,1.8304169354674466e-05,0.8335417019372668,2.4826517954960124e-06,0.1664245428317707,6.939754604851529e-07
18,0.07007762339738187,0.03636364884075255,7.416414952015788e-05,0.00010365202408640406,0.8080505756837046,7.597070558506103e-06,0.19176224445935716,1.7666127732277824e-06
19,0.07258426683369275,0.03838383870669093,8.557390407002563e-06,9.109159477583156e-06,0.7826223197701765,2.751620611608732e-07,0.2173596981270997,4.039077807551595e-08
20,0.07533261812113588,0.040404047499365256,0.0010361101302696829,0.000423687737737136,0.7568887478626108,3.1380669296004213e-06,0.24164762196335002,6.942391025858925e-07
21,0.07828136495396039,0.04242424855501627,0.012619148178601781,0.0021654033780433455,0.7289276994639026,2.75758071391702e-05,0.2562556972676466,4.4759046664870715e-06
22,0.08138906154683107,0.04444445058442634,0.026487116111046004,0.005050974556394101,0.7003095380067205,8.188645826487568e-05,0.26805767202346964,1.2812844104940417e-05
23,0.08463750198280125,0.04646465682536941,0.03969070580141803,0.007731857180596144,0.6709505103822564,0.002522731858291094,0.2787513760865254,0.000352818690913029
24,0.08798947356958889,0.048484857768140155,0.05301370410460384,0.002289097483156893,0.6370240659849551,0.021221383400927524,0.2834107973078341,0.0030409517185226442
25,0.0914110675775841,0.050505063117198004,0.0642905397568349,0.001113094792114638,0.6050610298573812,0.03694480728175942,0.28460866158156806,0.007981866730341755
26,0.09489486508178749,0.05252525879963327,0.07535364870288028,0.0004166356835566407,0.5732409483136621,0.052297353122648514,0.2857050680345806,0.012986346142671896
27,0.09843490322923672,0.05454545855395908,0.0862128120803884,0.00012778138930240424,0.5414849610274015,0.06741326716764448,0.2867712532610978,0.017989925074165393
28,0.10202552338936564,0.056565659008708635,0.09696689992105331,4.462510690141702e-05,0.5097560333835851,0.08241656304068062,0.28782839754141504,0.022987481006364444
29,0.10566151158064292,0.05858586036366384,0.10768986682474965,2.2905847114275914e-05,0.4780357530792653,0.09738541014435882,0.28888228295643037,0.027983781148081584
30,0.10933828474127155,0.060606061747776926,0.1184066727281723,1.3470933208533501e-05,0.4463173747037928,0.11234714006240121,0.2899353440544626,0.03297999751796256
31,0.11305185487704944,0.06262626333986933,0.1291213130208182,8.388771930634504e-06,0.4145997283011857,0.12730627727360136,0.29098804133452794,0.037976251297936164
32,0.11679871230367449,0.0646464652784163,0.13983462567335886,5.976149928421506e-06,0.3828825403256457,0.142263806166132,0.2920405148123579,0.04297253687257716
