,std,mean,Russell 1000,Russell 2000,BAML US Corporate Master,BAML US High Yield,3-Month Treasury Bill,MSCI EAFE,MSCI EM
0,0.02469762435370745,0.020829350394517644,2.928966946088457e-06,4.471152290384135e-05,0.0750642828952421,0.02432577365778843,0.9000017976759213,0.0005586166468860489,1.8886343113744975e-06
1,0.02641962228668668,0.02486568670145754,0.0002090861257893536,0.0008406457936174494,0.05471754039493052,0.06292835903831401,0.8640008537436792,0.01726731592804483,3.619897562461528e-05
2,0.027725752159029372,0.026512927629671945,0.0006889478902963683,0.001411940499940695,0.06425110480885547,0.058339257427148454,0.8430461319114223,0.03206964511146841,0.00019297235086833061
3,0.029172557012136308,0.028082381358589877,0.0008204923647432916,0.0018093587956416882,0.07337588998360013,0.05778534632927518,0.8213628251625029,0.04415575350834833,0.0006903338558885848
4,0.030684154935671674,0.02953014891089944,0.0019371172009655182,0.002271537664603037,0.07003655092031416,0.06321918369362987,0.8085543847347542,0.05274521057762422,0.00123601520810906
5,0.032288907738033,0.03105318522656984,0.002228012323171061,0.0010626106529260078,0.07089727481627271,0.06578705880134962,0.7939554176592731,0.0647225638137816,0.0013470619332258216
6,0.03399328527286549,0.032491996019688496,0.0014277376545048736,0.001710304614821668,0.08764246555864778,0.06123058206618507,0.7687588095817306,0.07744839658697755,0.0017817039371322103
7,0.0356719445329999,0.0337269710553189,0.004478839196055467,0.0029379910480157065,0.08999737338728535,0.05692454939698918,0.7562632121871994,0.08730709399876867,0.0020909407856861215
8,0.03755204776487802,0.035129427833937577,0.0054120700708093035,0.0032900884552824025,0.08876352743232031,0.06406624630049053,0.741238884824095,0.09406888596449627,0.0031602969525063827
9,0.03963882644613764,0.036777629181048876,0.005915297930685107,0.0012469015719898983,0.09065056106896666,0.0705415934408702,0.7230384007343232,0.105455991679321,0.0031512535738438398
10,0.04163537572078314,0.03816806295343372,0.0053152496693068055,0.003714320986264689,0.08240979782651593,0.0759345452522658,0.7148330727061141,0.11397982544265411,0.003813188116878719
11,0.04379580515173817,0.0395220425223875,0.009161320028819291,0.003812708972371313,0.10103196225318667,0.06845910648960682,0.6885051432702481,0.12338906936252997,0.005640689623237964
12,0.04624060923469043,0.04133902435880059,0.008496764589269751,0.004113021170468263,0.10379805420189557,0.06722648628080415,0.6711056403042462,0.14132405973202514,0.003935973721290768
13,0.04859711484112153,0.04281240020611794,0.01093085352285682,0.0042769179892084815,0.10626126938574333,0.0696468629848076,0.65398693026975,0.1488930113630846,0.006004154484549234
14,0.05111530942385814,0.04456175883384679,0.011122146352297272,0.001531974904278191,0.11123978615647222,0.075237628544823,0.6331032439620713,0.16064666583360634,0.007118554246451563
15,0.053689237557075845,0.046109791506004125,0.012585131903746726,0.004409313807322746,0.11394696664925158,0.07894075790561414,0.6134108281611966,0.168860015145896,0.007846986426972012
16,0.05644725571213806,0.047941566155301374,0.014359859275477319,0.004550554578673014,0.11797889639134031,0.07653138237552397,0.5944069774564052,0.18536253176851383,0.006809798154066384
17,0.05938587613567869,0.04971750884358833,0.017816969951120788,0.004419794176825011,0.11309856767054996,0.09086552950395786,0.5750779427139416,0.19095645290056998,0.007764743083034821
18,0.06269977679458459,0.05175383908551401,0.020295457102505656,0.004355180860267298,0.12156224372520158,0.07883663594207238,0.5550378916884957,0.20954886207266196,0.010363728608795461
19,0.06598645922965402,0.053865423185325736,0.018006747433966006,0.005215145245156636,0.11879340217944198,0.09117730848225464,0.5337789373814433,0.2225886471857558,0.010439812091981802
20,0.06920465912068324,0.05562234854472091,0.01975374215378741,0.009617250441269657,0.13465954600690602,0.09126474527183066,0.5013027505582331,0.23134060796526207,0.012061357602711154
21,0.07304636521888393,0.058295924914812794,0.02026458166914072,0.004543379441648579,0.1402688933942147,0.08269592287573473,0.4800403358798311,0.26073778881227166,0.01144909792715837
22,0.07688692171872655,0.06032719357784923,0.030643506736961035,0.004997472691960018,0.13807653179167179,0.10116428901275,0.4508320846994032,0.2611095108023076,0.013176604264946334
23,0.08097239013244736,0.0629144163640512,0.026258211437686616,0.0064388329253659785,0.15355052547837697,0.09445300858297898,0.4191121952825386,0.2860429584438245,0.014144267849228473
24,0.08547416001961909,0.06564696829413365,0.02638422602043171,0.008146175626104344,0.14112256870541792,0.10630916108455994,0.4000387332988805,0.30369288963244534,0.01430624563216031
25,0.08993888285451834,0.06806724394910849,0.037236965428636346,0.006875237079347567,0.1578058331020559,0.09893836888285738,0.36412299733883724,0.3164143701766447,0.01860622799162109
26,0.09454590578589032,0.07105136382556314,0.028727212930007878,0.00998455293062666,0.1450741580799937,0.12131660496798105,0.340700709306869,0.3387149156450624,0.015481846139459013
27,0.09981429784908614,0.07386716798636431,0.0429266930415029,0.007168723103518845,0.1519870650101122,0.11838784599419051,0.30748621254935427,0.3500944381046984,0.021949022196622845
28,0.10517411818484203,0.07726637391330791,0.04159071178968792,0.008696377268425646,0.15465335287334098,0.11729256178068517,0.2761218023232242,0.38298314159545827,0.01866205236917788
29,0.1108733339466249,0.08056495483618209,0.042733465665370465,0.0099146173772765,0.13867805020963936,0.1258171917276576,0.25701325071385434,0.40310583764342023,0.022737586662781528
30,0.11669804854843424,0.08394041895205304,0.04767362348476867,0.008677034894453515,0.13932140286885064,0.13513116686445442,0.22149483255679317,0.42228987853536326,0.025412060795316015
31,0.12309598479803886,0.08771000755920613,0.05156703334066922,0.010823673695531036,0.13730485590090472,0.13546390073024142,0.18803198925904727,0.4518832965842916,0.02492525048931482
